question,answer
login issue (0),Reset your password and try again.
password not working (0),Use forgot password to reset it.
order delay (0),Your order may be delayed due to high demand.
refund status (0),Refund takes 5-7 working days.
cancel order (0),Cancel from order history section.
payment issue (0),Check your bank or try another method.
account blocked (0),Contact support to unblock your account.
delivery not received (0),Check tracking details for updates.
app crash (0),Update or reinstall the app.
coupon not working (0),Check coupon validity and terms.
login issue (1),Reset your password and try again.
password not working (1),Use forgot password to reset it.
order delay (1),Your order may be delayed due to high demand.
refund status (1),Refund takes 5-7 working days.
cancel order (1),Cancel from order history section.
payment issue (1),Check your bank or try another method.
account blocked (1),Contact support to unblock your account.
delivery not received (1),Check tracking details for updates.
app crash (1),Update or reinstall the app.
coupon not working (1),Check coupon validity and terms.
login issue (2),Reset your password and try again.
password not working (2),Use forgot password to reset it.
order delay (2),Your order may be delayed due to high demand.
refund status (2),Refund takes 5-7 working days.
cancel order (2),Cancel from order history section.
payment issue (2),Check your bank or try another method.
account blocked (2),Contact support to unblock your account.
delivery not received (2),Check tracking details for updates.
app crash (2),Update or reinstall the app.
coupon not working (2),Check coupon validity and terms.
login issue (3),Reset your password and try again.
password not working (3),Use forgot password to reset it.
order delay (3),Your order may be delayed due to high demand.
refund status (3),Refund takes 5-7 working days.
cancel order (3),Cancel from order history section.
payment issue (3),Check your bank or try another method.
account blocked (3),Contact support to unblock your account.
delivery not received (3),Check tracking details for updates.
app crash (3),Update or reinstall the app.
coupon not working (3),Check coupon validity and terms.
login issue (4),Reset your password and try again.
password not working (4),Use forgot password to reset it.
order delay (4),Your order may be delayed due to high demand.
refund status (4),Refund takes 5-7 working days.
cancel order (4),Cancel from order history section.
payment issue (4),Check your bank or try another method.
account blocked (4),Contact support to unblock your account.
delivery not received (4),Check tracking details for updates.
app crash (4),Update or reinstall the app.
coupon not working (4),Check coupon validity and terms.
login issue (5),Reset your password and try again.
password not working (5),Use forgot password to reset it.
order delay (5),Your order may be delayed due to high demand.
refund status (5),Refund takes 5-7 working days.
cancel order (5),Cancel from order history section.
payment issue (5),Check your bank or try another method.
account blocked (5),Contact support to unblock your account.
delivery not received (5),Check tracking details for updates.
app crash (5),Update or reinstall the app.
coupon not working (5),Check coupon validity and terms.
login issue (6),Reset your password and try again.
password not working (6),Use forgot password to reset it.
order delay (6),Your order may be delayed due to high demand.
refund status (6),Refund takes 5-7 working days.
cancel order (6),Cancel from order history section.
payment issue (6),Check your bank or try another method.
account blocked (6),Contact support to unblock your account.
delivery not received (6),Check tracking details for updates.
app crash (6),Update or reinstall the app.
coupon not working (6),Check coupon validity and terms.
login issue (7),Reset your password and try again.
password not working (7),Use forgot password to reset it.
order delay (7),Your order may be delayed due to high demand.
refund status (7),Refund takes 5-7 working days.
cancel order (7),Cancel from order history section.
payment issue (7),Check your bank or try another method.
account blocked (7),Contact support to unblock your account.
delivery not received (7),Check tracking details for updates.
app crash (7),Update or reinstall the app.
coupon not working (7),Check coupon validity and terms.
login issue (8),Reset your password and try again.
password not working (8),Use forgot password to reset it.
order delay (8),Your order may be delayed due to high demand.
refund status (8),Refund takes 5-7 working days.
cancel order (8),Cancel from order history section.
payment issue (8),Check your bank or try another method.
account blocked (8),Contact support to unblock your account.
delivery not received (8),Check tracking details for updates.
app crash (8),Update or reinstall the app.
coupon not working (8),Check coupon validity and terms.
login issue (9),Reset your password and try again.
password not working (9),Use forgot password to reset it.
order delay (9),Your order may be delayed due to high demand.
refund status (9),Refund takes 5-7 working days.
cancel order (9),Cancel from order history section.
payment issue (9),Check your bank or try another method.
account blocked (9),Contact support to unblock your account.
delivery not received (9),Check tracking details for updates.
app crash (9),Update or reinstall the app.
coupon not working (9),Check coupon validity and terms.
login issue (10),Reset your password and try again.
password not working (10),Use forgot password to reset it.
order delay (10),Your order may be delayed due to high demand.
refund status (10),Refund takes 5-7 working days.
cancel order (10),Cancel from order history section.
payment issue (10),Check your bank or try another method.
account blocked (10),Contact support to unblock your account.
delivery not received (10),Check tracking details for updates.
app crash (10),Update or reinstall the app.
coupon not working (10),Check coupon validity and terms.
login issue (11),Reset your password and try again.
password not working (11),Use forgot password to reset it.
order delay (11),Your order may be delayed due to high demand.
refund status (11),Refund takes 5-7 working days.
cancel order (11),Cancel from order history section.
payment issue (11),Check your bank or try another method.
account blocked (11),Contact support to unblock your account.
delivery not received (11),Check tracking details for updates.
app crash (11),Update or reinstall the app.
coupon not working (11),Check coupon validity and terms.


